"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","96","236","184","8","0","52.17","5","lbw","2","v Sri Lanka","Perth","8 Dec 1995"
"2","71","125","94","9","1","75.53","6","caught","1","v Sri Lanka","Melbourne","26 Dec 1995"
"3","DNB","-","-","-","-","-","-","-","4","v Sri Lanka","Melbourne","26 Dec 1995"
"4","6","31","27","0","0","22.22","6","caught","1","v Sri Lanka","Adelaide","25 Jan 1996"
"5","20","64","61","2","0","32.78","6","caught","3","v Sri Lanka","Adelaide","25 Jan 1996"
"6","14","47","48","1","0","29.16","3","bowled","1","v India","Delhi","10 Oct 1996"
"7","13","25","21","2","0","61.90","3","bowled","3","v India","Delhi","10 Oct 1996"
"8","88","208","150","10","1","58.66","3","caught","1","v West Indies","Brisbane","22 Nov 1996"
"9","9","43","28","1","0","32.14","3","caught","3","v West Indies","Brisbane","22 Nov 1996"
"10","9","42","28","1","0","32.14","3","caught","1","v West Indies","Sydney","29 Nov 1996"
"11","4","29","22","0","0","18.18","3","caught","3","v West Indies","Sydney","29 Nov 1996"
"12","127","261","202","16","1","62.87","6","caught","2","v England","Leeds","24 Jul 1997"
"13","9","15","15","1","0","60.00","6","bowled","1","v England","Nottingham","7 Aug 1997"
"14","45","168","131","4","0","34.35","6","caught","3","v England","Nottingham","7 Aug 1997"
"15","40","134","96","3","1","41.66","6","caught","2","v England","The Oval","21 Aug 1997"
"16","20","47","35","3","0","57.14","6","lbw","4","v England","The Oval","21 Aug 1997"
"17","26","72","56","3","0","46.42","6","caught","1","v New Zealand","Brisbane","7 Nov 1997"
"18","73*","119","85","7","2","85.88","7","not out","3","v New Zealand","Brisbane","7 Nov 1997"
"19","16","40","31","2","0","51.61","7","caught","2","v New Zealand","Perth","20 Nov 1997"
"20","4","34","23","0","0","17.39","6","caught","1","v New Zealand","Hobart","27 Nov 1997"
"21","DNB","-","-","-","-","-","-","-","3","v New Zealand","Hobart","27 Nov 1997"
"22","105","269","208","14","0","50.48","6","bowled","1","v South Africa","Melbourne","26 Dec 1997"
"23","32","113","84","2","0","38.09","6","caught","3","v South Africa","Melbourne","26 Dec 1997"
"24","62","219","155","1","1","40.00","6","caught","2","v South Africa","Sydney","2 Jan 1998"
"25","26","97","72","4","0","36.11","6","bowled","2","v South Africa","Adelaide","30 Jan 1998"
"26","23","118","84","3","0","27.38","6","caught","4","v South Africa","Adelaide","30 Jan 1998"
"27","18","50","34","1","0","52.94","5","caught","2","v India","Chennai","6 Mar 1998"
"28","2","9","7","0","0","28.57","7","lbw","4","v India","Chennai","6 Mar 1998"
"29","60","149","127","7","0","47.24","6","bowled","1","v India","Kolkata","18 Mar 1998"
"30","9","40","25","1","0","36.00","5","caught","3","v India","Kolkata","18 Mar 1998"
"31","16","27","30","0","0","53.33","6","caught","2","v India","Bangalore","25 Mar 1998"
"32","DNB","-","-","-","-","-","-","-","4","v India","Bangalore","25 Mar 1998"
"33","76*","166","147","6","0","51.70","6","not out","1","v Pakistan","Peshawar","15 Oct 1998"
"34","43","83","88","3","0","48.86","6","lbw","3","v Pakistan","Peshawar","15 Oct 1998"
"35","21","94","61","1","0","34.42","6","caught","1","v England","Brisbane","20 Nov 1998"
"36","DNB","-","-","-","-","-","-","-","3","v England","Brisbane","20 Nov 1998"
"37","11","32","18","0","0","61.11","7","caught","2","v England","Perth","28 Nov 1998"
"38","DNB","-","-","-","-","-","-","-","4","v England","Perth","28 Nov 1998"
"39","5","32","28","0","0","17.85","6","caught","1","v England","Adelaide","11 Dec 1998"
"40","10","42","30","1","0","33.33","6","bowled","3","v England","Adelaide","11 Dec 1998"
"41","104","376","290","10","0","35.86","6","caught","1","v West Indies","Bridgetown","26 Mar 1999"
"42","22","141","76","1","0","28.94","7","caught","3","v West Indies","Bridgetown","26 Mar 1999"
"43","21","90","72","2","0","29.16","6","lbw","1","v West Indies","St John's","3 Apr 1999"
"44","21*","104","82","0","1","25.60","6","not out","3","v West Indies","St John's","3 Apr 1999"
"45","96","243","160","10","1","60.00","6","caught","1","v Sri Lanka","Kandy","9 Sep 1999"
"46","51","136","118","4","1","43.22","5","caught","3","v Sri Lanka","Kandy","9 Sep 1999"
"47","1","10","12","0","0","8.33","7","caught","2","v Sri Lanka","Galle","22 Sep 1999"
"48","105*","222","171","11","0","61.40","6","not out","1","v Sri Lanka","Colombo (SSC)","30 Sep 1999"
"49","31","100","82","3","0","37.80","6","caught","2","v Zimbabwe","Harare","14 Oct 1999"
"50","DNB","-","-","-","-","-","-","-","4","v Zimbabwe","Harare","14 Oct 1999"
"51","0","13","7","0","0","0.00","6","lbw","2","v Pakistan","Brisbane","5 Nov 1999"
"52","DNB","-","-","-","-","-","-","-","4","v Pakistan","Brisbane","5 Nov 1999"
"53","0","13","3","0","0","0.00","6","bowled","2","v Pakistan","Hobart","18 Nov 1999"
"54","0","5","5","0","0","0.00","6","lbw","4","v Pakistan","Hobart","18 Nov 1999"
"55","197","420","288","22","0","68.40","6","caught","2","v Pakistan","Perth","26 Nov 1999"
"56","125","275","198","15","0","63.13","6","run out","1","v India","Adelaide","10 Dec 1999"
"57","21","68","54","2","0","38.88","6","caught","3","v India","Adelaide","10 Dec 1999"
"58","67","166","85","5","0","78.82","6","lbw","1","v India","Melbourne","26 Dec 1999"
